Facility_Mnemonic,Location_Mnemonic,Coid,Network_Mnemonic_CS,Facility_Desc
COCMCI    ,M.SURG    ,9725,KSA ,Medical Ctr Of Independence (C
COCFV     ,F.FAM     ,31054,GAA ,Fairview Park Hospital
COCSZ     ,D.CCL     ,32801,NVA ,Sunrise Hospital And Medical C
COCTL     ,K.CR      ,30954,FLI ,Capital Regional Medical Cente
COCEI     ,E.ADMIT   ,34206,TNB ,Parkridge East Hospital
COCWM     ,H.10SEICU ,39385,TXF ,Methodist Hospital
COCLSU    ,W.PACUBEDS,9724,KSA ,Lee's Summit Medical Center
COCGBE    ,BA.BO     ,7126,TXG ,Medical City Green Oaks Hospit
COCFH     ,Z.ER      ,35953,FLC ,Fawcett Memorial Hospital
COCPL     ,E.ER.REG  ,34310,TXG ,Medical City Plano
COCLV     ,F.EH      ,31824,LAB ,Lakeview Regional Medical Cent
COCTW     ,G.DE      ,30948,FLI ,Twin Cities Hospital
COCMO     ,G.BCCH    ,32819,NVA ,Mountainview Hospital
COCDO     ,D.YFP     ,8298,TXA ,Corpus Christi Medical Center
COCDAB    ,CM.CCJ    ,34011,SCA ,Colleton Medical Center
COCSU     ,G.WACCOUNT,26620,TNB ,Parkridge West Hospital
COCFPA    ,BF.ACCT   ,26790,TXG ,Medical City Frisco
COCWY     ,W.CVRR    ,31608,KSB ,Wesley Medical Center
COCCC     ,D.JTALLEN ,34632,VAA ,CJW Medical Center
.         ,LWFR      ,37969,FLJ ,JFK Medical Center
COCCBL    ,N.NI      ,34409,UTA ,Mountain View Hospital
COCCR     ,B.ACU     ,38318,TXA ,Conroe Regional Medical Center
AKAR      ,L.WIMAIN  ,30201,UTA ,Alaska Regional Hospital
COCDR     ,G.SDC4    ,38329,TXG ,Medical City Denton
COCRZ     ,BK.ED     ,34294,TNA ,RIVER PARK HOSPITAL
COCCM     ,I.AUDIO   ,9726,KSA ,Centerpoint Medical Center
COCMT     ,M.ERTELE  ,34392,TXF ,Metropolitan Methodist Hospita
COCQR     ,K.ANNEX   ,30933,FLK ,Raulerson Hospital
COCKW     ,C.ACT     ,39233,TXA ,Kingwood Medical Center
COCCBF    ,G.IC      ,34410,UTA ,Brigham City Community Hospita
COCWF     ,AF.ADN    ,30504,CAC ,West Hills Hospital & Medical 
STMH      ,W.OB      ,34407,UTA ,St Mark's Hospital
COCSO     ,H.ENV     ,34242,TNA ,Southern Hills Medical Center
COCBM     ,V.BBK     ,38340,TXA ,Bayshore Medical Center
MSH       ,V.SAS     ,26870,KYB ,Memorial Satilla Health
COCPZ     ,M.LAB     ,34318,TXG ,Medical City Fort Worth
COCST     ,L.DWM     ,39307,TXB ,Las Palmas Medical Center
COCYJ     ,W.IS      ,34407,UTA ,St Mark's Hospital
COCZN     ,D.MIS     ,34654,VAB ,LewisGale Hospital-Alleghany
COCIE     ,F.2.5     ,37938,FLL ,Lake City Medical Center
COCCBA    ,L.R2MR    ,6676,TXI ,St David's Medical Center
COCRR     ,H.SRFD    ,34321,TXA ,Rio Grande Regional Hospital
COCAK     ,L.PCD     ,30201,AKA ,Alaska Regional Hospital
COCWI     ,W.BCCH    ,31802,LAA ,WINN PARISH MEDICAL CENTER
COCLR     ,M.LRWCG   ,30936,FLG ,Largo Medical Center
COCWC     ,Z.EAST    ,31880,LAC ,Women's & Children's Hospital
COCUB     ,X.MUDD    ,27200,COA ,P-SL Medical Center
COCTD     ,NP.OT     ,25073,TNA ,Portland Medical Center
COCPMA    ,Y.MUE     ,26450,FLF ,Poinciana Medical Center
COCPF     ,D.DIET    ,37940,FLJ ,Palms West Hospital
COCRH     ,G.SPC     ,34626,VAA ,Retreat Hospital
COCSDA    ,G.CT      ,26825,TXI ,St. David's Surgical Hospital
COCVA     ,VR.PT     ,37358,TXA ,Valley Regional Medical Center
COCPN_O   ,EUR.EGGCH ,33608,OKA ,OU Medical Center
COCHU     ,X.ER      ,31057,GAA ,Hughston Orthopedic Hospital
COCSJ     ,J.4NE     ,34357,TXA ,Spring Branch Medical Center
COCSU     ,G.SETHRA  ,36205,TNB ,GRANDVIEW MEDICAL CENTER
COCAO     ,M.AVOYMAHS,31801,LAA ,AVOYELLES HOSPITAL
COCLN     ,Q.SDC/IN  ,31857,LAC ,The Regional Medical Center Of
COCID     ,D.SURG1   ,31202,IDA ,Eastern Idaho RMC
COCPA     ,L.ENDO    ,30923,FLJ ,JFK Medical Center North Campu
COCCT     ,M.P3A     ,34222,TNA ,Centennial Medical Center
COCSL     ,A.MISE    ,37355,TXA ,East Houston Medical Center
COCNW     ,J.ST      ,30995,FLB ,Northwest Medical Center
COCMS     ,E.CPN     ,36956,FLH ,Specialty Hospital Jacksonvill
COCSHA    ,E.4EAST   ,26630,VAC ,StoneSprings Hospital Center
COCEH     ,E.OTH     ,35952,FLC ,Englewood Community Hospital
COCYE     ,AM.OTO    ,27300,COA ,Rose Medical Center
COCOH     ,PARMCOCOH ,30997,FLG ,Oak Hill Hospital
COCPC     ,F.VASD    ,34224,TNB ,Parkridge Medical Center
COCHHA    ,Y.BIO     ,25960,TXI ,Heart Hospital Of Austin
COCBR     ,H.PRE     ,30917,FLG ,Brandon Regional Hospital
COCDE     ,D.SDC-514 ,34223,TNA ,Summit Medical Center
COCTE     ,Y.RCC     ,39339,TXA ,Texas Orthopedic Hospital
COCPE     ,J.SDCIN   ,34605,VAB ,LewisGale Hospital-Pulaski
COCCF     ,F.PATH    ,34319,TXA ,Woman's Hospital Of Texas
COCCV     ,CC.RX     ,26700,UTA ,Cache Valley Hospital
COCVO     ,V.ZTEXSA  ,34385,TXF ,Northeast Methodist Hospital
COCFI     ,AN.CM     ,27490,COA ,Spalding Rehabilitation Hospit
COCMMC    ,E.MM      ,26537,FLQ ,Memorial Hospital of Tampa
COCHM     ,Q.PREIN   ,36243,TNA ,Horizon Medical Center
COCRX     ,G.VOL     ,30555,CAC ,Los Robles Hospital And Medica
COCSAA    ,Y.2 PEDS  ,25325,VAA ,Spotsylvania Regional Medical 
COCLW     ,L.BI      ,30949,FLG ,Blake Medical Center
COCSY     ,SM.REFP   ,9391,TNA ,StoneCrest Medical Center
COCGBT    ,Q.ORIP    ,8385,CAA ,Regional Medical Center Of San
COCBP     ,Y.CL      ,30951,FLG ,Regional Medical Center Bayone
COCYS     ,K.NM      ,8540,VAC ,Reston Hospital Center
COCNP     ,E.EC      ,30941,FLG ,Medical Center of Trinity
COCEW     ,D.MCRB    ,37934,FLG ,Edward White Hospital
COCWR     ,H.LABMCC  ,30928,FLI ,West Florida Hospital
COCAA     ,M.CARD    ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.5EAST  ,27100,COA ,Swedish Medical Center
COCCA     ,V.LD      ,8625,GAA ,Cartersville Medical Center
COCXG     ,J.LAB     ,30996,FLK ,St. Lucie Medical Center
COCAY     ,X.PRE     ,54327,TXF ,Methodist Ambulatory Surgery H
COCRBE    ,J.SNF     ,9728,KSA ,Belton Regional Medical Center
COCNV     ,G.POD     ,34293,TNA ,Skyline Medical Center
COCMCB    ,BB.PHARM  ,25121,TXG ,Medical City Alliance
COCHR     ,H.TRAUMA  ,34634,VAA ,Henrico Doctors Hospital
COCDC     ,Y.EMH     ,31033,GAA ,Doctors Hospital (Columbus)
COCMHB    ,D.PICC    ,26110,FLB ,Mercy Hospital
COCSMC    ,SM.EKD    ,25558,FLG ,Largo Medical Center - Indian
COCZA     ,L.CM      ,27401,COA ,Centennial Healthcare Plaza
COCDW     ,D.MSC     ,8611,GAA ,Emory Dunwoody Medical Center
COCXJ     ,H.NURSERY ,30916,FLL ,North Florida Regional Medical
COCPJ     ,Z.MSC     ,31050,GAA ,Palmyra Medical Centers
COCWS     ,W.CSS     ,30908,FLB ,Westside Regional Medical Cent
COCUH     ,UPHY      ,35940,FLB ,University Hospital
COCNH     ,N.RECTX   ,34329,TXG ,Medical City North Hills
COCSW     ,W.PLOR    ,35955,FLC ,Southwest Florida Reg Med Cent
COCQC     ,M.CMT     ,32905,NHA ,Parkland Medical Center
COCMK     ,Q.WALKIN A,38333,TXG ,Medical City McKinney
COCYK     ,G.RISK MTG,30927,FLL ,Ocala Regional Medical Center
COCWU     ,Z.PFS     ,34327,TXA ,West Houston Medical Center
COCOVP    ,V.SECURITY,9722,KSA ,Overland Park Regional Medical
COCMN     ,E.CSP     ,37333,TXA ,Mainland Medical Center
COCGO     ,CT        ,30572,CAA ,Good Samaritan Hospital
COCQV     ,F.EDH     ,34003,SCA ,Grand Strand Medical Center
COCCBM    ,Q.HHC     ,34415,UTA ,Ogden Regional Medical Center
COCGV     ,AA.FETAL  ,31767,TNA ,Greenview Regional Hospital
COCLS     ,E.MEDSD   ,31821,LAB ,LAKESIDE HOSPITAL
COCOA     ,D.SS      ,31803,LAA ,OAKDALE COMMUNITY HOSPITAL
COCSNV    ,H.RM      ,8967,NVA ,Southern Hills Hosp & Med Ctr-
COCNVC    ,D.US      ,9472,VAC ,NORTHERN VIRGINIA COMMUNITY HO
COCCE     ,OPGC      ,35932,FLD ,CEDARS MEDICAL CENTER
COCDL     ,H.IFEE    ,34325,TXG ,Medical City Dallas
COCPOP    ,F.FS      ,26536,FLQ ,Palms of Pasadena Hospital
COCTU     ,D.ZMCLA   ,31810,LAB ,Tulane University Hospital & C
COCRC     ,D.NUTR    ,9727,KSA ,Research Medical Center
COCGHA    ,G.WF      ,26330,KSB ,Wesley Woodlawn Hospital & ER
COCTAC    ,D.EE      ,26535,FLQ ,Tampa Community Hospital
COCMEN    ,X.DEXA    ,9723,KSA ,Menorah Medical Center
COCRM     ,M.CPN     ,31052,GAA ,Redmond Regional Medical Cente
COCOS     ,N.ORGAN   ,30902,FLF ,Osceola Regional Medical Cente
COCTN     ,MM.REN    ,25070,TNA ,Skyline Madison Campus
COCGBA    ,X.448A    ,6678,TXI ,St David's Rehab
COCTR     ,D.TDS     ,34001,SCA ,Trident Regional Medical Cente
COCGTH    ,V.VAS     ,25067,TXI ,St. David's Georgetown
COCSK     ,J.MDANDJR ,7850,LAA ,SAVOY MEDICAL CENTER
COCSE     ,J.CSBHTC  ,37941,FLG ,South Bay Hospital
COCSN     ,N.PATH    ,34335,TXF ,Methodist Specialty & Transpla
COCMHL    ,BA.CS     ,26890,TXF ,Methodist Hospital South
COCAT     ,V.4NE     ,30920,FLE ,Aventura Hospital & Medical Ce
COCJM     ,2NICU     ,36957,FLH ,Memorial Hospital Jacksonville
COCBAU    ,H.BRK     ,8224,TXI ,North Austin Medical Center
COCEJC    ,EJ.MSC    ,3402,GAA ,EMORY JOHNS CREEK HOSPITAL
COCSR     ,AS.707    ,27150,COA ,Sky Ridge Medical Center
COCTG     ,H.NBOP    ,31408,INA ,Terre Haute Regional Hospital
COCDT     ,D.REHAB   ,36930,FLC ,Doctors Hospital Of Sarasota
COCMCI    ,M.MORGUE  ,9725,KSA ,Medical Ctr Of Independence (C
COCFV     ,F.FIT     ,31054,GAA ,Fairview Park Hospital
COCSZ     ,D.SHSPEDPT,32801,NVA ,Sunrise Hospital And Medical C
COCTL     ,K.RADD    ,30954,FLI ,Capital Regional Medical Cente
COCEI     ,E.LACT    ,34206,TNB ,Parkridge East Hospital
COCWM     ,H.PA      ,39385,TXF ,Methodist Hospital
COCLSU    ,W.TELE    ,9724,KSA ,Lee's Summit Medical Center
COCGBE    ,BA.SC6    ,7126,TXG ,Medical City Green Oaks Hospit
COCFH     ,F.MED2    ,35953,FLC ,Fawcett Memorial Hospital
COCPL     ,E.PAIN    ,34310,TXG ,Medical City Plano
COCLV     ,F.METRM12 ,31824,LAB ,Lakeview Regional Medical Cent
COCTW     ,G.IS      ,30948,FLI ,Twin Cities Hospital
COCMO     ,G.ECHO    ,32819,NVA ,Mountainview Hospital
COCDO     ,D.YCT     ,8298,TXA ,Corpus Christi Medical Center
COCDAB    ,CM.HOSP   ,34011,SCA ,Colleton Medical Center
COCSU     ,G.WNUR    ,26620,TNB ,Parkridge West Hospital
COCFPA    ,BF.HR     ,26790,TXG ,Medical City Frisco
COCWY     ,J.WMNH    ,31608,KSB ,Wesley Medical Center
COCCC     ,D.JRESV   ,34632,VAA ,CJW Medical Center
.         ,ZZAN15    ,37969,FLJ ,JFK Medical Center
COCCBL    ,XN.MUE    ,34409,UTA ,Mountain View Hospital
COCCR     ,B.EMH     ,38318,TXA ,Conroe Regional Medical Center
AKAR      ,L.PAT     ,30201,UTA ,Alaska Regional Hospital
COCDR     ,G.NST9    ,38329,TXG ,Medical City Denton
COCRZ     ,BK.POPS   ,34294,TNA ,RIVER PARK HOSPITAL
COCCM     ,Z.DCLOUNGE,9726,KSA ,Centerpoint Medical Center
COCMT     ,M.URO     ,34392,TXF ,Metropolitan Methodist Hospita
COCQR     ,K.ER12    ,30933,FLK ,Raulerson Hospital
COCKW     ,C.NICU    ,39233,TXA ,Kingwood Medical Center
COCCBF    ,G.EEG     ,34410,UTA ,Brigham City Community Hospita
COCWF     ,AF.CHAP   ,30504,CAC ,West Hills Hospital & Medical 
STMH      ,W.GWF     ,34407,UTA ,St Mark's Hospital
COCSO     ,H.DTP     ,34242,TNA ,Southern Hills Medical Center
COCBM     ,V.SICU    ,38340,TXA ,Bayshore Medical Center
MSH       ,V.CR      ,26870,KYB ,Memorial Satilla Health
COCPZ     ,M.WBO     ,34318,TXG ,Medical City Fort Worth
COCST     ,X.PAT     ,39307,TXB ,Las Palmas Medical Center
COCYJ     ,W.ADP     ,34407,UTA ,St Mark's Hospital
COCZN     ,D.OVERFLOW,34654,VAB ,LewisGale Hospital-Alleghany
COCIE     ,F.ECHOD   ,37938,FLL ,Lake City Medical Center
COCCBA    ,L.INCA    ,6676,TXI ,St David's Medical Center
COCRR     ,H.2E      ,34321,TXA ,Rio Grande Regional Hospital
COCAK     ,L.ECHO    ,30201,AKA ,Alaska Regional Hospital
COCWI     ,W.OT      ,31802,LAA ,WINN PARISH MEDICAL CENTER
COCLR     ,M.PMTWNDW ,30936,FLG ,Largo Medical Center
COCWC     ,Z.LACT    ,31880,LAC ,Women's & Children's Hospital
COCUB     ,X.CLCO    ,27200,COA ,P-SL Medical Center
COCTD     ,NP.SL     ,25073,TNA ,Portland Medical Center
COCPMA    ,Y.EEG     ,26450,FLF ,Poinciana Medical Center
COCPF     ,D.2OF     ,37940,FLJ ,Palms West Hospital
COCRH     ,G.HCR     ,34626,VAA ,Retreat Hospital
COCVA     ,VR.SRG    ,37358,TXA ,Valley Regional Medical Center
COCPN_O   ,EU.ICUOB  ,33608,OKA ,OU Medical Center
COCHU     ,X.PHA     ,31057,GAA ,Hughston Orthopedic Hospital
COCSJ     ,J.4SO     ,34357,TXA ,Spring Branch Medical Center
COCSU     ,G.NYCT    ,36205,TNB ,GRANDVIEW MEDICAL CENTER
COCAO     ,U         ,31801,LAA ,AVOYELLES HOSPITAL
COCLN     ,Q.SUP     ,31857,LAC ,The Regional Medical Center Of
COCID     ,D.OB1     ,31202,IDA ,Eastern Idaho RMC
COCPA     ,L.ICH     ,30923,FLJ ,JFK Medical Center North Campu
COCCT     ,M.T5OBS   ,34222,TNA ,Centennial Medical Center
COCSL     ,A.2NN     ,37355,TXA ,East Houston Medical Center
COCNW     ,H.EQUIP   ,30995,FLB ,Northwest Medical Center
COCMS     ,NFLCOCMS  ,36956,FLH ,Specialty Hospital Jacksonvill
COCSHA    ,E.CPOEPEDS,26630,VAC ,StoneSprings Hospital Center
COCEH     ,E.SP      ,35952,FLC ,Englewood Community Hospital
COCYE     ,AM.US     ,27300,COA ,Rose Medical Center
COCOH     ,K.CA      ,30997,FLG ,Oak Hill Hospital
COCPC     ,F.ENG     ,34224,TNB ,Parkridge Medical Center
COCHHA    ,Y.AMN     ,25960,TXI ,Heart Hospital Of Austin
COCBR     ,FOPS.FLG  ,30917,FLG ,Brandon Regional Hospital
COCDE     ,D.ADNESR  ,34223,TNA ,Summit Medical Center
COCTE     ,Y.UR      ,39339,TXA ,Texas Orthopedic Hospital
COCPE     ,z.JIT.ARC4,34605,VAB ,LewisGale Hospital-Pulaski
COCCF     ,F.XMS     ,34319,TXA ,Woman's Hospital Of Texas
COCCV     ,CC.ED     ,26700,UTA ,Cache Valley Hospital
COCVO     ,V.TELE    ,34385,TXF ,Northeast Methodist Hospital
COCFI     ,AN.RADD   ,27490,COA ,Spalding Rehabilitation Hospit
COCMMC    ,E.ONCNAV  ,26537,FLQ ,Memorial Hospital of Tampa
COCHM     ,Q.PHAR    ,36243,TNA ,Horizon Medical Center
COCRX     ,G.DIST    ,30555,CAC ,Los Robles Hospital And Medica
COCSAA    ,Y.ED HOLD ,25325,VAA ,Spotsylvania Regional Medical 
COCLW     ,L.EN      ,30949,FLG ,Blake Medical Center
COCSY     ,SM.ERT    ,9391,TNA ,StoneCrest Medical Center
COCGBT    ,Q.PSGNEURO,8385,CAA ,Regional Medical Center Of San
COCBP     ,Y.RG      ,30951,FLG ,Regional Medical Center Bayone
COCYS     ,Y.MEANING ,8540,VAC ,Reston Hospital Center
COCNP     ,E.2WORTHO ,30941,FLG ,Medical Center of Trinity
COCEW     ,D.CM      ,37934,FLG ,Edward White Hospital
COCWR     ,H.ENCORE  ,30928,FLI ,West Florida Hospital
COCAA     ,E.SCOE    ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.TCD    ,27100,COA ,Swedish Medical Center
COCCA     ,V.ER      ,8625,GAA ,Cartersville Medical Center
COCXG     ,J.X       ,30996,FLK ,St. Lucie Medical Center
COCAY     ,X.ZTEXSA  ,54327,TXF ,Methodist Ambulatory Surgery H
COCRBE    ,J.MM      ,9728,KSA ,Belton Regional Medical Center
COCNV     ,G.SDC-362 ,34293,TNA ,Skyline Medical Center
COCMCB    ,BB.PBX    ,25121,TXG ,Medical City Alliance
COCHR     ,H.HEMONC  ,34634,VAA ,Henrico Doctors Hospital
COCDC     ,Y.CWS     ,31033,GAA ,Doctors Hospital (Columbus)
COCMHB    ,D.ORTHO   ,26110,FLB ,Mercy Hospital
COCSMC    ,SM.ORL    ,25558,FLG ,Largo Medical Center - Indian
COCZA     ,L.CS      ,27401,COA ,Centennial Healthcare Plaza
COCDW     ,D.2SUR    ,8611,GAA ,Emory Dunwoody Medical Center
COCXJ     ,H.NF.REHAB,30916,FLL ,North Florida Regional Medical
COCPJ     ,Z.OBG     ,31050,GAA ,Palmyra Medical Centers
COCWS     ,W.EH      ,30908,FLB ,Westside Regional Medical Cent
COCUH     ,UID       ,35940,FLB ,University Hospital
COCNH     ,N.PATH    ,34329,TXG ,Medical City North Hills
COCSW     ,W.ERREG   ,35955,FLC ,Southwest Florida Reg Med Cent
COCQC     ,M.OBOR    ,32905,NHA ,Parkland Medical Center
COCMK     ,Q.CDU     ,38333,TXG ,Medical City McKinney
COCYK     ,GM.REHW   ,30927,FLL ,Ocala Regional Medical Center
COCWU     ,Z.ZPAC    ,34327,TXA ,West Houston Medical Center
COCOVP    ,V.NT      ,9722,KSA ,Overland Park Regional Medical
COCMN     ,V.IMCU    ,37333,TXA ,Mainland Medical Center
COCGO     ,M.ED2     ,30572,CAA ,Good Samaritan Hospital
COCQV     ,MADCOCQV  ,34003,SCA ,Grand Strand Medical Center
COCCBM    ,Q.POC     ,34415,UTA ,Ogden Regional Medical Center
COCGV     ,AA.KIDN   ,31767,TNA ,Greenview Regional Hospital
COCLS     ,E.MEDSTAF ,31821,LAB ,LAKESIDE HOSPITAL
COCOA     ,D.AMB     ,31803,LAA ,OAKDALE COMMUNITY HOSPITAL
COCSNV    ,H.XI90    ,8967,NVA ,Southern Hills Hosp & Med Ctr-
COCNVC    ,D.RAD     ,9472,VAC ,NORTHERN VIRGINIA COMMUNITY HO
COCCE     ,CLABSP    ,35932,FLD ,CEDARS MEDICAL CENTER
COCDL     ,H.12S     ,34325,TXG ,Medical City Dallas
COCPOP    ,F.MK      ,26536,FLQ ,Palms of Pasadena Hospital
COCTU     ,D.LSMS510E,31810,LAB ,Tulane University Hospital & C
COCRC     ,L.ZTRICARE,9727,KSA ,Research Medical Center
COCGHA    ,E.SEC     ,26330,KSB ,Wesley Woodlawn Hospital & ER
COCTAC    ,D.NA      ,26535,FLQ ,Tampa Community Hospital
COCMEN    ,X.Z       ,9723,KSA ,Menorah Medical Center
COCRM     ,M.EDH     ,31052,GAA ,Redmond Regional Medical Cente
COCOS     ,N.SSS     ,30902,FLF ,Osceola Regional Medical Cente
COCTN     ,MM.IS     ,25070,TNA ,Skyline Madison Campus
COCGBA    ,N.AW      ,6678,TXI ,St David's Rehab
COCTR     ,D.TCATH   ,34001,SCA ,Trident Regional Medical Cente
COCGTH    ,V.CTCRAD  ,25067,TXI ,St. David's Georgetown
COCSK     ,J.WEST    ,7850,LAA ,SAVOY MEDICAL CENTER
COCSE     ,J.OPMM    ,37941,FLG ,South Bay Hospital
COCSN     ,N.ER-CVB  ,34335,TXF ,Methodist Specialty & Transpla
COCMHL    ,BA.ERPSYCH,26890,TXF ,Methodist Hospital South
COCAT     ,V.URC     ,30920,FLE ,Aventura Hospital & Medical Ce
COCJM     ,J.NBOP    ,36957,FLH ,Memorial Hospital Jacksonville
COCBAU    ,H.CM      ,8224,TXI ,North Austin Medical Center
COCEJC    ,EJ.3NMED  ,3402,GAA ,EMORY JOHNS CREEK HOSPITAL
COCSR     ,AS.CPOEED ,27150,COA ,Sky Ridge Medical Center
COCTG     ,H.2DIA    ,31408,INA ,Terre Haute Regional Hospital
COCDT     ,D.ECT     ,36930,FLC ,Doctors Hospital Of Sarasota
COCMCI    ,M.NUTRSVC ,9725,KSA ,Medical Ctr Of Independence (C
COCFV     ,F.OBOR    ,31054,GAA ,Fairview Park Hospital
COCSZ     ,D.CVRR    ,32801,NVA ,Sunrise Hospital And Medical C
COCTL     ,K.GER     ,30954,FLI ,Capital Regional Medical Cente
COCEI     ,E.XMS     ,34206,TNB ,Parkridge East Hospital
COCWM     ,H.CCL     ,39385,TXF ,Methodist Hospital
COCLSU    ,W.ZERINPT ,9724,KSA ,Lee's Summit Medical Center
COCGBE    ,BA.GOPLCS ,7126,TXG ,Medical City Green Oaks Hospit
COCFH     ,F.RSK     ,35953,FLC ,Fawcett Memorial Hospital
COCPL     ,E.MDS     ,34310,TXG ,Medical City Plano
COCLV     ,F.PTOTSLP ,31824,LAB ,Lakeview Regional Medical Cent
COCTW     ,G.CHHLAB  ,30948,FLI ,Twin Cities Hospital
COCMO     ,G.XI15    ,32819,NVA ,Mountainview Hospital
COCDO     ,D.DAE     ,8298,TXA ,Corpus Christi Medical Center
COCDAB    ,CM.NA     ,34011,SCA ,Colleton Medical Center
COCSU     ,G.SUNBELT ,26620,TNB ,Parkridge West Hospital
COCFPA    ,BF.ICU    ,26790,TXG ,Medical City Frisco
COCWY     ,W.CON     ,31608,KSB ,Wesley Medical Center
COCCC     ,D.JLDC    ,34632,VAA ,CJW Medical Center
.         ,Z3NPAINME ,37969,FLJ ,JFK Medical Center
COCCBL    ,H.1OO*****,34409,UTA ,Mountain View Hospital
COCCR     ,B.NUC     ,38318,TXA ,Conroe Regional Medical Center
AKAR      ,L.CHUG2   ,30201,UTA ,Alaska Regional Hospital
COCDR     ,G.ER      ,38329,TXG ,Medical City Denton
COCRZ     ,BK.SDC    ,34294,TNA ,RIVER PARK HOSPITAL
COCCM     ,Z.HCT     ,9726,KSA ,Centerpoint Medical Center
COCMT     ,M.DUMMY   ,34392,TXF ,Metropolitan Methodist Hospita
COCQR     ,K.ENG     ,30933,FLK ,Raulerson Hospital
COCKW     ,C.ICU4    ,39233,TXA ,Kingwood Medical Center
COCCBF    ,G.PDOC    ,34410,UTA ,Brigham City Community Hospita
COCWF     ,AF.XI82   ,30504,CAC ,West Hills Hospital & Medical 
STMH      ,W.ST      ,34407,UTA ,St Mark's Hospital
COCSO     ,H.MED     ,34242,TNA ,Southern Hills Medical Center
COCBM     ,V.MDFEE   ,38340,TXA ,Bayshore Medical Center
MSH       ,V.OBPP    ,26870,KYB ,Memorial Satilla Health
COCPZ     ,M.EMG     ,34318,TXG ,Medical City Fort Worth
COCST     ,X.HBO     ,39307,TXB ,Las Palmas Medical Center
COCYJ     ,W.QM      ,34407,UTA ,St Mark's Hospital
COCZN     ,D.PENN    ,34654,VAB ,LewisGale Hospital-Alleghany
COCIE     ,F.DIRADMT ,37938,FLL ,Lake City Medical Center
COCCBA    ,L.DIALY   ,6676,TXI ,St David's Medical Center
COCRR     ,H.OBED    ,34321,TXA ,Rio Grande Regional Hospital
COCAK     ,L.EKG     ,30201,AKA ,Alaska Regional Hospital
COCWI     ,W.ENT     ,31802,LAA ,WINN PARISH MEDICAL CENTER
COCLR     ,M.LRARBSUB,30936,FLG ,Largo Medical Center
COCWC     ,Z.GYN     ,31880,LAC ,Women's & Children's Hospital
COCUB     ,X.CNS     ,27200,COA ,P-SL Medical Center
COCTD     ,NP.MIC    ,25073,TNA ,Portland Medical Center
COCPMA    ,Y.IS      ,26450,FLF ,Poinciana Medical Center
COCPF     ,D.PTACSUP ,37940,FLJ ,Palms West Hospital
COCRH     ,G.QM      ,34626,VAA ,Retreat Hospital
COCVA     ,VR.LD CHG ,37358,TXA ,Valley Regional Medical Center
COCPN_O   ,EU.MFM1   ,33608,OKA ,OU Medical Center
COCHU     ,X.IC      ,31057,GAA ,Hughston Orthopedic Hospital
COCSJ     ,J.TVR     ,34357,TXA ,Spring Branch Medical Center
COCSU     ,G.FASTTRK4,36205,TNB ,GRANDVIEW MEDICAL CENTER
COCAO     ,M.HHMID   ,31801,LAA ,AVOYELLES HOSPITAL
COCLN     ,Q.COL     ,31857,LAC ,The Regional Medical Center Of
COCID     ,R.GOODSAM ,31202,IDA ,Eastern Idaho RMC
COCPA     ,L.DIABED  ,30923,FLJ ,JFK Medical Center North Campu
COCCT     ,M.SCHED   ,34222,TNA ,Centennial Medical Center
COCSL     ,A.ENG     ,37355,TXA ,East Houston Medical Center
COCNW     ,H.EENT    ,30995,FLB ,Northwest Medical Center
COCMS     ,E.BEDSIDE ,36956,FLH ,Specialty Hospital Jacksonvill
COCSHA    ,E.MAINTNCE,26630,VAC ,StoneSprings Hospital Center
COCEH     ,E.MACC    ,35952,FLC ,Englewood Community Hospital
COCYE     ,AM.RAD    ,27300,COA ,Rose Medical Center
COCOH     ,K.4FORTHO ,30997,FLG ,Oak Hill Hospital
COCPC     ,F.PAYROLLV,34224,TNB ,Parkridge Medical Center
COCHHA    ,Y.PAT     ,25960,TXI ,Heart Hospital Of Austin
COCBR     ,H.EDPY    ,30917,FLG ,Brandon Regional Hospital
COCDE     ,D.SASC    ,34223,TNA ,Summit Medical Center
COCTE     ,Y.NVL     ,39339,TXA ,Texas Orthopedic Hospital
COCPE     ,J.ADMIT   ,34605,VAB ,LewisGale Hospital-Pulaski
COCCF     ,F.LASER   ,34319,TXA ,Woman's Hospital Of Texas
COCCV     ,CC.SATR   ,26700,UTA ,Cache Valley Hospital
COCVO     ,V.OPSIC   ,34385,TXF ,Northeast Methodist Hospital
COCFI     ,AN.NTH    ,27490,COA ,Spalding Rehabilitation Hospit
COCMMC    ,E.PG      ,26537,FLQ ,Memorial Hospital of Tampa
COCHM     ,Q.SHOBE   ,36243,TNA ,Horizon Medical Center
COCRX     ,G.XI91    ,30555,CAC ,Los Robles Hospital And Medica
COCSAA    ,Y.VAHCS   ,25325,VAA ,Spotsylvania Regional Medical 
COCLW     ,L.PK1     ,30949,FLG ,Blake Medical Center
COCSY     ,SM.POPS   ,9391,TNA ,StoneCrest Medical Center
COCGBT    ,Q.OR      ,8385,CAA ,Regional Medical Center Of San
COCBP     ,Y.RESV    ,30951,FLG ,Regional Medical Center Bayone
COCYS     ,K.MICT    ,8540,VAC ,Reston Hospital Center
COCNP     ,E.EDCMTR  ,30941,FLG ,Medical Center of Trinity
COCEW     ,D.SNF     ,37934,FLG ,Edward White Hospital
